Season,Name,Age,Hometown,Occupation,Place,Age Difference,Show,Predicted Place
29,Alexe Godin[9],27.0,12,9,,3.0,Bachelor,19.0
29,Alli Jo Hinkes[4][10],30.0,3,21,,0.0,Bachelor,23.0
29,Allyshia Gupta[4],29.0,18,2,,1.0,Bachelor,23.0
29,Bailey Brown[11][12],27.0,1,17,,3.0,Bachelor,19.0
29,Beverly Ortega[13],30.0,7,1,,0.0,Bachelor,14.0
29,Carolina Quixano[14],28.0,5,12,,2.0,Bachelor,19.0
29,Chloie Costello[14],27.0,10,5,,3.0,Bachelor,19.0
29,Christina Smith[15],26.0,8,4,,4.0,Bachelor,19.0
29,Dina Lupancu[14],31.0,19,16,,-1.0,Bachelor,23.0
29,Ella Del Rosario[14],25.0,9,3,,5.0,Bachelor,19.0
29,Jâ€™Nae Squires-Horton[14],28.0,23,8,,2.0,Bachelor,4.0
29,Juliana Pasquarosa[16][17],28.0,11,22,,2.0,Bachelor,19.0
29,Kelsey Curtis[18],26.0,22,2,,4.0,Bachelor,10.0
29,Kyleigh Henrich[19],26.0,4,15,,4.0,Bachelor,19.0
29,Litia Garr[14],31.0,17,19,,-1.0,Bachelor,23.0
29,Natalie Phillips[20],25.0,16,11,,5.0,Bachelor,4.0
29,Neicey Baxter[21][22],32.0,14,10,,-2.0,Bachelor,9.0
29,Parisa Shifteh[14],29.0,13,7,,1.0,Bachelor,23.0
29,Radhika Gupta[23],28.0,2,16,,2.0,Bachelor,19.0
29,Rebekah Garrett[14],31.0,0,0,,-1.0,Bachelor,14.0
29,Rose Sombke[14],27.0,15,13,,3.0,Bachelor,4.0
29,Sarafiena Watkins[13],29.0,24,14,,1.0,Bachelor,23.0
29,Savannah Quinn[24],27.0,20,20,,3.0,Bachelor,3.0
29,Vicky Nyamuswa[14],28.0,6,6,,2.0,Bachelor,19.0
29,Zoe McGrady[19],27.0,21,18,,3.0,Bachelor,3.0
